Year,Player,Pos,TRB,AST,PTS,PPG,RPG,APG,
1951,Hank DeZonie,C-F,18,9,17,3,4,2,
1951,Joe Dolhon,G,18,19,51,4,1,1,
1951,Bob Donham,SG,235,139,416,6,3,2,
1951,Andy Duncan,F-C,30,8,29,2,2,1,
1951,Dike Eddleman,SF,410,170,1040,15,6,3,
1951,Ray Ellefson,C,8,0,4,1,3,0,
1951,Arnie Ferrin,F-G,271,107,352,5,4,2,
1951,Larry Foust,C,681,90,915,13,10,1,
1951,Joe Fulks*,PF,523,117,1236,19,8,2,
1951,Bill Gabor,SG,150,125,689,11,2,2,
1951,Harry Gallatin*,F-C,800,180,845,13,12,3,
1951,Vern Gardner,SG,237,89,327,5,4,1,
1951,Ed Gayda,G-F,39,13,56,4,3,1,
1951,Chuck Gilmur,F-C,75,17,51,3,5,1,
1951,Bud Grant,F,115,71,158,3,2,1,
1951,Alex Groza,C,709,156,1429,22,11,2,
1951,Chick Halbert,C,539,158,500,7,8,2,
1951,Bruce Hale,G-F,49,42,94,4,2,2,
1951,Alex Hannum*,PF,301,119,471,7,5,2,
1951,John Hargis,G-F,66,25,123,4,2,1,
1951,John Hargis,G-F,30,9,67,5,2,1,
1951,John Hargis,G-F,36,16,56,4,2,1,
1951,Bob Harris,F-C,291,64,282,5,5,1,
1951,Bob Harris,F-C,44,8,41,3,4,1,
1951,Bob Harris,F-C,247,56,241,5,6,1,
1951,Bob Harrison,G,172,195,401,6,3,3,
1951,Billy Hassett,G,34,47,133,4,1,2,
1951,Kleggie Hermsen,C-F,448,92,533,8,6,1,
1951,Sonny Hertzberg,G,260,244,635,10,4,4,
1951,Paul Hoffman,G-F,202,111,359,9,5,3,
1951,Joe Holland,SF,344,150,470,7,5,2,
1951,Red Holzman*,PG,152,147,496,7,2,2,
1951,Joe Hutton,SG,102,53,147,2,2,1,
1951,Gene James,F,141,70,202,4,3,1,
1951,Gene James,F,4,4,3,1,1,1,
1951,Gene James,F,137,66,199,5,3,2,
1951,Tony Jaros,F-G,131,72,241,4,2,1,
1951,Arnie Johnson,SF,449,175,639,9,7,3,
1951,Ralph Johnson,PG,275,183,584,9,4,3,
1951,Wah Wah,PF,125,85,247,11,6,4,
1951,Noble Jorgensen,C,338,91,628,10,5,1,
1951,Noble Jorgensen,C,112,27,246,11,5,1,
1951,Noble Jorgensen,C,226,64,382,9,6,2,
1951,George Kaftan,SF,153,74,300,5,3,1,
1951,Jack Kerris,PF,477,181,711,10,7,3,
1951,Duane Klueh,G,183,82,449,7,3,1,
1951,Frank Kudelka,G-F,158,105,441,7,3,2,
1951,Tony Lavelli,F,59,23,99,3,2,1,
1951,Bob Lavoy,PF,310,76,526,8,5,1,
1951,Ed Leede,F-G,118,95,378,7,2,2,
1951,Ron Livingstone,C,297,76,284,5,5,1,
1951,Earl Lloyd*,SF,47,11,43,6,7,2,
1951,Don Lofgran,F-C,157,36,237,4,3,1,
1951,John Logan,G,134,119,231,8,4,4,
1951,Ray Lumpp,G,125,115,430,7,2,2,
1951,Ed Macauley*,C-F,616,252,1384,20,9,4,
1951,Johnny Macknowski,G-F,110,69,384,7,2,1,
1951,Norm Mager,F,47,23,124,5,2,1,
1951,John Mahnken,C,219,77,267,5,4,1,
1951,John Mahnken,C,184,67,239,5,4,1,
1951,John Mahnken,C,35,10,28,2,3,1,
1951,Slater Martin*,PG,246,235,575,8,4,3,
1951,Ariel Maughan,F,141,48,254,7,4,1,
1951,Dick McGuire*,PG,334,400,537,8,5,6,
1951,Bones McKinney,SF,198,85,262,6,5,2,
1951,Bones McKinney,SF,19,6,27,3,2,1,
1951,Bones McKinney,SF,179,79,235,7,5,2,
1951,Mal McMullen,F-C,128,33,204,4,3,1,
1951,Joe McNamee,SF,101,18,123,2,2,0,
1951,Dick Mehen,PF,223,118,474,7,3,2,
1951,Dick Mehen,PF,76,55,151,9,5,3,
1951,Dick Mehen,PF,26,11,44,6,4,2,
1951,Dick Mehen,PF,121,52,279,6,3,1,
1951,Ed Mikan,C-F,344,63,523,9,6,1,
1951,George Mikan*,C,958,208,1932,28,14,3,
1951,Vern Mikkelsen*,PF,655,181,904,14,10,3,
1951,Leo Mogus,F-C,102,32,139,2,2,1,
1951,Chuck Mrazovich,F,40,13,85,3,2,1,
1951,Ken Murray,G-F,355,202,850,13,5,3,
1951,Jack Nichols,PF,63,15,70,12,11,3,
1951,Paul Noel,F,81,34,130,3,2,1,
1951,Johnny Norlander,F,9,5,21,2,1,1,
1951,Dick O'Keefe,G-F,37,25,67,4,2,1,
1951,Tommy O'Keefe,G,7,10,23,4,1,2,
1951,Tommy O'Keefe,G,4,2,12,4,1,1,
1951,Tommy O'Keefe,G,3,8,11,4,1,3,
1951,Kevin O'Shea,G,125,100,271,4,2,2,
1951,John Oldham,G,242,127,569,8,4,2,
1951,Don Otten,C,404,62,570,9,6,1,
1951,Don Otten,C,106,22,148,9,7,1,
1951,Don Otten,C,3,3,11,6,2,2,
1951,Don Otten,C,295,37,411,8,6,1,
1951,Easy Parham,F-G,9,2,6,1,1,0,
1951,Warren Perkins,G-F,319,143,396,6,5,2,
1951,Ed Peterson,C,288,66,359,7,5,1,
1951,Ed Peterson,C,38,8,80,5,2,0,
1951,Ed Peterson,C,250,58,279,8,7,2,
1951,Andy Phillip*,G-F,446,414,740,11,7,6,
1951,Jim Pollard*,SF,484,184,629,12,9,3,
1951,George Ratkovicz,PF,547,193,849,13,8,3,
1951,Don Rehfeldt,SF,251,68,431,7,4,1,
1951,Jim Riffey,F,61,16,150,4,2,0,
1951,Arnie Risen*,C,795,158,1077,16,12,2,
1951,Tex Ritter,G-F,65,37,127,4,2,1,
1951,Red Rocha,C,511,147,836,13,8,2,
1951,Kenny Sailors,G,120,150,493,8,2,3,
1951,Kenny Sailors,G,3,8,18,2,0,1,
1951,Kenny Sailors,G,117,142,475,10,2,3,
1951,Pep Saul,SG,84,68,282,4,1,1,
1951,Alan Sawyer,F,121,25,217,7,4,1,
1951,Fred Schaus,F,495,184,1028,15,7,3,
1951,Dolph Schayes*,F-C,1080,251,1121,17,16,4,
1951,Herb Scherer,C,50,17,68,3,3,1,
1951,Dick Schnittker,SF,153,41,295,10,5,1,
1951,Fred Scolari,G,218,255,883,13,3,4,
1951,George Senesky,PG,326,342,679,10,5,5,
1951,Paul Seymour,G-F,194,187,367,7,4,4,
1951,Carl Shaeffer,F-G,10,6,15,2,1,1,
1951,Bill Sharman*,SG,110,39,378,12,4,1,
1951,Connie Simmons,C-F,426,117,604,9,6,2,
1951,Belus Smawley,SG,178,161,731,12,3,3,
1951,Belus Smawley,SG,48,36,124,8,3,2,
1951,Belus Smawley,SG,130,125,607,14,3,3,
1951,Ed Stanczak,F,36,7,60,3,2,0,
1951,Mike Todorovich,F-C,455,179,653,10,7,3,
1951,Gene Vance,G-F,94,57,139,5,3,2,
1951,Ernie Vandeweghe,F-G,195,121,338,8,4,3,
1951,Brady Walker,PF,354,111,400,6,5,2,
1951,Brady Walker,PF,31,8,31,2,2,0,
1951,Brady Walker,PF,323,103,369,8,7,2,
1951,Paul Walther,SG,226,225,571,9,4,4,
1951,Bobby Wanzer*,G,232,181,736,11,3,3,
1951,Max Zaslofsky,SG,228,136,835,13,3,2,
,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
1952,Paul Arizin*,SF,745,170,1674,25,11,3,
1952,Cliff Barker,SG,81,70,126,3,2,2,
1952,Don Barksdale*,PF,601,137,781,13,10,2,
1952,Leo Barnhorst,SF,430,255,820,12,7,4,
1952,Elmer Behnke,C,17,4,16,4,4,1,
1952,Charlie Black,F-C,31,9,17,1,2,1,
1952,Nelson Bobb,PG,147,168,319,5,2,3,
1952,Vince Boryla,SF,219,90,500,12,5,2,
1952,Don Boven,SG,336,177,656,10,5,3,
1952,Bob Brannum,PF,406,76,405,6,6,1,
1952,Frankie Brian,SG,232,233,1051,16,4,4,
1952,Stan Brown,F,17,9,54,4,1,1,
1952,Walt Budko,PF,232,91,254,4,4,1,
1952,Art Burris,SF,99,27,110,3,2,1,
1952,Art Burris,SF,49,11,43,1,2,0,
1952,Art Burris,SF,50,16,67,6,4,1,
1952,Gerry Calabrese,SG,84,83,291,5,1,1,
1952,Bill Calhoun,SG,252,117,383,7,5,2,
1952,Al Cervi*,PG,87,148,417,8,2,3,
1952,Cal Christensen,SF,82,34,88,4,3,1,
1952,Nat Clifton*,PF,731,209,658,11,12,3,
1952,Bill Closs,SF,204,76,347,6,4,1,
1952,Jack Coleman,PF,692,208,736,11,10,3,
1952,Chuck Cooper,SF,502,134,543,8,8,2,
1952,Bob Cousy*,PG,421,441,1433,22,6,7,
1952,Dillard Crocker,PF,111,57,293,8,3,2,
1952,Dillard Crocker,PF,3,0,9,2,1,0,
1952,Dillard Crocker,PF,108,57,284,9,3,2,
1952,Ed Dahler,F,22,5,35,3,2,0,
1952,Bob Davies*,PG,189,390,1052,16,3,6,
1952,Nate DeLong,C,31,14,64,4,2,1,
1952,Dick Dickey,PG,81,50,127,3,2,1,
1952,Bob Donham,SG,330,228,551,8,5,3,
1952,Dike Eddleman,SF,269,135,743,11,4,2,
1952,Dike Eddleman,SF,232,112,639,13,5,2,
1952,Dike Eddleman,SF,37,23,104,7,2,1,
1952,Jake Fendley,SG,80,58,183,3,1,1,
1952,Larry Foust,C,880,200,1047,16,13,3,
1952,Jerry Fowler,C,10,2,9,2,2,0,
1952,Joe Fulks*,PF,368,123,922,15,6,2,
1952,Bill Gabor,SG,93,86,488,9,2,2,
1952,Harry Gallatin*,PF,661,115,741,11,10,2,
1952,Vern Gardner,SG,112,37,159,6,4,1,
1952,Joe Graboski,C,655,130,904,14,10,2,
1952,Alex Hannum*,F-C,336,133,438,7,5,2,
1952,Bob Harris,PF,531,120,514,8,8,2,
1952,Bob Harrison,SG,160,188,401,6,2,3,
1952,Lew Hitch,PF,243,50,217,4,4,1,
1952,Joe Holland,SF,166,47,226,4,3,1,
1952,Red Holzman*,PG,106,115,269,4,2,2,
1952,Mel Hutchins,C,880,190,607,9,13,3,
1952,Joe Hutton,SG,85,62,155,3,1,1,
1952,Arnie Johnson,SF,404,182,657,10,6,3,
1952,Ralph Johnson,PG,222,210,523,8,3,3,
1952,Neil Johnston*,C,342,39,382,6,5,1,
1952,Wah Wah,PF,283,150,430,7,5,3,
1952,Noble Jorgensen,C,288,63,529,8,4,1,
1952,George Kaftan,SF,196,88,322,6,4,2,
1952,Jack Kerris,PF,514,212,589,9,8,3,
1952,Jack Kiley,SG,49,62,118,3,1,1,
1952,George King,PG,274,244,658,10,4,4,
1952,Walt Kirk,PG,44,28,111,10,4,3,
1952,Frank Kudelka,SF,275,183,606,9,4,3,
1952,Bob Lavoy,PF,479,107,648,10,8,2,
1952,Don Lofgran,SF,257,48,454,7,4,1,
1952,Ray Lumpp,SG,125,123,458,7,2,2,
1952,Ed Macauley*,C,529,232,1264,19,8,4,
1952,John Mahnken,C,132,63,182,3,2,1,
1952,Slater Martin*,PG,228,249,616,9,3,4,
1952,John McConathy,F,20,8,14,1,2,1,
1952,Alfred McGuire*,PG,121,107,208,4,2,2,
1952,Dick McGuire*,PG,332,388,591,9,5,6,
1952,Bones McKinney,SF,175,111,337,5,3,2,
1952,Joe McNamee,F-C,137,40,166,3,2,1,
1952,Dick Mehen,PF,282,171,703,11,4,3,
1952,Stan Miasek,PF,639,140,779,12,10,2,
1952,Ed Mikan,C,492,87,520,8,7,1,
1952,George Mikan*,C,866,194,1523,24,14,3,
1952,Vern Mikkelsen*,PF,681,180,1009,15,10,3,
1952,Dave Minor,SG,275,160,471,8,5,3,
1952,Paul Noel,F,4,3,6,1,1,0,
1952,Ralph O'Brien,SG,122,124,578,9,2,2,
1952,Kevin O'Shea,PG,201,171,450,7,3,3,
1952,Kevin O'Shea,G,122,101,258,6,3,2,
1952,Kevin O'Shea,PG,79,70,192,9,4,3,
1952,Wally Osterkorn,SF,444,117,489,7,7,2,
1952,Don Otten,C,435,123,767,12,7,2,
1952,Don Otten,C,20,5,24,3,3,1,
1952,Don Otten,C,415,118,743,13,7,2,
1952,Red Owens,SG,102,64,230,8,4,2,
1952,Red Owens,SG,71,32,150,8,4,2,
1952,Red Owens,SG,31,32,80,8,3,3,
1952,Mel Payton,SF,83,45,129,3,2,1,
1952,Andy Phillip*,SG,434,539,790,12,7,8,
1952,John Pilch,F,9,2,5,1,1,0,
1952,Jim Pollard*,SF,593,234,1005,15,9,4,
1952,Ray Ragelis,SF,76,31,68,1,1,1,
1952,Sam Ranzino,SG,39,25,86,2,1,1,
1952,George Ratkovicz,PF,328,90,493,7,5,1,
1952,Don Rehfeldt,SF,243,50,261,7,6,1,
1952,Don Rehfeldt,SF,69,12,54,5,7,1,
1952,Don Rehfeldt,SF,174,38,207,7,6,1,
1952,John Rennicke,G,9,1,11,2,2,0,
1952,Arnie Risen*,C,841,150,1032,16,13,2,
1952,Red Rocha,C,549,128,854,13,8,2,
1952,Pep Saul,G-F,165,147,433,7,3,2,
1952,Don Savage,F-G,24,12,36,3,2,1,
1952,Fred Schaus,SF,434,247,872,14,7,4,
1952,Dolph Schayes*,PF,773,182,868,14,12,3,
1952,Herb Scherer,C,26,6,47,4,2,1,
1952,Howie Schultz,PF,246,102,268,4,4,2,
1952,Fred Scolari,PG,214,303,933,15,3,5,
1952,George Senesky,PG,232,280,474,8,4,5,
1952,Paul Seymour,SG,225,220,598,9,3,3,
1952,Chuck Share,C,331,66,248,4,5,1,
1952,Bill Sharman*,SG,221,151,671,11,4,2,
1952,Connie Simmons,C,471,121,629,10,7,2,
1952,Zeke Sinicola,G,1,0,2,1,0,0,
1952,Whitey Skoog,SG,122,60,234,7,3,2,
1952,Jim Slaughter,C,148,25,147,5,5,1,
1952,Belus Smawley,SG,18,8,40,4,2,1,
1952,Odie Spears,SF,303,163,566,9,5,2,
1952,Bill Tosheff,PG,216,222,608,9,3,3,
1952,Gene Vance,G-F,15,9,23,3,2,1,
1952,Ernie Vandeweghe,SF,264,164,524,9,5,3,
1952,Brady Walker,PF,195,40,204,6,6,1,
1952,Paul Walther,SG,246,137,671,12,4,2,
1952,Bobby Wanzer*,SG,333,262,1033,16,5,4,
1952,Bob Wilson,PG,210,108,236,4,3,2,
1952,Max Zaslofsky,SG,194,156,931,14,3,2,
,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
1953,Jim Baechtold,SF,219,154,661,10,3,2,
1953,Don Barksdale*,PF,597,166,899,14,9,3,
1953,Leo Barnhorst,SF,483,277,967,14,7,4,
1953,Nelson Bobb,PG,157,192,343,6,3,3,
1953,Vince Boryla,SF,233,166,673,10,4,3,
1953,Don Boven,SF,217,79,451,7,3,1,
1953,Don Boven,F-G,98,35,241,9,4,1,
1953,Don Boven,F-G,61,23,106,5,3,1,
1953,Don Boven,SF,58,21,104,6,3,1,
1953,Bob Brannum,PF,537,147,486,7,8,2,
1953,Jim Brasco,G,24,21,77,4,1,1,
1953,Jim Brasco,G,15,12,33,3,2,1,
1953,Jim Brasco,G,9,9,44,4,1,1,
1953,Carl Braun,SG,233,243,977,14,3,3,
1953,Frankie Brian,SG,133,142,726,11,2,2,
1953,Dick Bunt,PG,28,17,92,4,1,1,
1953,Dick Bunt,PG,13,10,41,3,1,1,
1953,Dick Bunt,PG,15,7,51,4,1,1,
1953,Bill Calhoun,SF,277,156,571,9,4,3,
1953,Bill Calhoun,F-G,27,15,64,5,2,1,
1953,Bill Calhoun,SF,250,141,507,10,5,3,
1953,Al Cervi*,PG,22,28,143,4,1,1,
1953,Cal Christensen,SF,199,54,212,4,3,1,
1953,Nat Clifton*,PF,761,231,744,11,11,3,
1953,Jack Coleman,PF,774,231,763,11,11,3,
1953,Gene Conley,PF,171,19,88,2,4,0,
1953,Chuck Cooper,SF,439,112,458,7,6,2,
1953,Ray Corley,G,5,5,11,1,1,1,
1953,Bob Cousy*,PG,449,547,1407,20,6,8,
1953,Dillard Crocker,PF,104,63,330,5,2,1,
1953,Pete Darcey,C,10,2,11,1,1,0,
1953,Bob Davies*,PG,195,280,1029,16,3,4,
1953,Blaine Denning,G,4,0,5,5,4,0,
1953,Bob Donham,SG,239,153,451,6,3,2,
1953,Dike Eddleman,SF,236,104,615,9,3,2,
1953,George Feigenbaum,PG,7,9,16,3,1,2,
1953,Jake Fendley,PG,46,36,104,2,1,1,
1953,Danny Finn,SG,175,146,369,12,6,5,
1953,Jerry Fleishman,SG,152,108,296,9,5,3,
1953,Larry Foust,C,769,151,958,14,11,2,
1953,Joe Fulks*,PF,387,138,832,12,6,2,
1953,Bill Gabor,SG,104,134,647,9,2,2,
1953,Harry Gallatin*,PF,916,126,865,12,13,2,
1953,Joe Graboski,C,687,156,894,13,10,2,
1953,Dick Groat,PG,86,69,309,12,3,3,
1953,Alex Hannum*,PF,279,81,346,5,4,1,
1953,Don Hanrahan,F,30,11,33,2,2,1,
1953,Bob Harris,SF,485,95,517,7,7,1,
1953,Bob Harrison,SG,153,160,497,7,2,2,
1953,Don Henriksen,C,506,129,574,8,7,2,
1953,Kleggie Hermsen,C-F,19,4,11,1,2,0,
1953,Kleggie Hermsen,C-F,7,0,1,0,2,0,
1953,Kleggie Hermsen,C-F,12,4,10,2,2,1,
1953,Lew Hitch,PF,275,66,261,4,4,1,
1953,Paul Hoffman,SG,317,237,704,10,5,3,
1953,Jim Holstein,SF,173,74,266,4,3,1,
1953,Red Holzman*,PG,40,35,103,2,1,1,
1953,Mel Hutchins,C,793,227,831,12,11,3,
1953,Arnie Johnson,SF,419,153,583,8,6,2,
1953,Ralph Johnson,PG,1,5,8,3,0,2,
1953,Neil Johnston*,C,976,197,1564,22,14,3,
1953,Noble Jorgensen,C,236,76,436,6,3,1,
1953,George Kaftan,SF,75,31,134,6,3,1,
1953,Jack Kerris,PF,295,156,274,4,4,2,
1953,Jack Kerris,F-C,207,108,179,3,4,2,
1953,Jack Kerris,PF,88,48,95,6,5,3,
1953,Jack Kiley,SG,2,3,6,1,0,1,
1953,George King,PG,281,364,794,11,4,5,
1953,Frank Kudelka,SG,88,70,162,5,2,2,
1953,Frank Kudelka,G-F,43,29,79,5,3,2,
1953,Frank Kudelka,SG,45,41,83,4,2,2,
1953,Bob Lavoy,PF,528,130,618,9,8,2,
1953,Andrew Levane,SG,9,9,8,1,1,1,
1953,Earl Lloyd*,SF,444,64,472,7,7,1,
1953,Bob Lochmueller,SF,162,47,232,4,3,1,
1953,Don Lofgran,SF,339,106,472,7,5,2,
1953,Ray Lumpp,PG,141,168,529,10,3,3,
1953,Ray Lumpp,G,22,15,28,5,4,3,
1953,Ray Lumpp,PG,119,153,501,10,2,3,
1953,Ed Macauley*,C,629,280,1402,20,9,4,
1953,John Mahnken,C,182,75,191,3,3,1,
1953,Mo Mahoney,F,7,1,12,2,1,0,
1953,Slater Martin*,PG,186,250,744,11,3,4,
1953,Al Masino,PG,177,160,396,6,2,2,
1953,Jack McCloskey,SG,3,1,6,6,3,1,
1953,Bucky McConnell,PG,34,41,68,5,2,3,
1953,Alfred McGuire*,PG,167,145,352,6,3,3,
1953,Dick McGuire*,PG,280,296,437,7,5,5,
1953,George McLeod,F,21,4,12,1,2,0,
1953,Jack McMahon,PG,183,186,507,7,3,3,
1953,Monk Meineke,PF,466,148,725,11,7,2,
1953,Stan Miasek,SF,360,122,512,8,6,2,
1953,Stan Miasek,C-F,199,72,283,11,8,3,
1953,Stan Miasek,SF,161,50,229,6,4,1,
1953,Ed Mikan,C,237,39,235,4,4,1,
1953,Ed Mikan,C,119,22,105,6,6,1,
1953,Ed Mikan,C,118,17,130,3,3,0,
1953,George Mikan*,C,1007,201,1442,21,14,3,
1953,Vern Mikkelsen*,PF,654,148,1047,15,9,2,
1953,Eddie Miller,C,669,115,733,10,10,2,
1953,Eddie Miller,C,60,6,39,4,6,1,
1953,Eddie Miller,C,609,109,694,12,10,2,
1953,Dave Minor,PG,252,128,406,7,4,2,
1953,Dave Minor,G-F,41,23,88,5,2,1,
1953,Dave Minor,PG,211,105,318,8,5,3,
1953,Bill Mlkvy,SF,101,62,181,6,3,2,
1953,Jim Mooney,SF,70,35,135,8,4,2,
1953,Bob Naber,F,5,1,1,0,1,0,
1953,Jack Nichols,PF,533,196,1090,16,8,3,
1953,John O'Boyle,SG,10,5,21,4,2,1,
1953,Ralph O'Brien,PG,70,56,270,5,1,1,
1953,Ralph O'Brien,G,50,35,175,5,1,1,
1953,Ralph O'Brien,G,0,4,23,3,0,1,
1953,Ralph O'Brien,PG,20,17,72,5,1,1,
1953,Mike O'Neill,SF,9,3,12,3,2,1,
1953,Kevin O'Shea,SG,76,87,190,4,2,2,
1953,Wally Osterkorn,SF,217,61,276,6,4,1,
1953,Don Otten,C,89,21,132,6,4,1,
1953,Claude Overton,SG,25,15,58,4,2,1,
1953,Johnny Payak,SG,114,140,436,6,2,2,
1953,Mel Payton,SF,313,81,466,7,5,1,
1953,Andy Phillip*,G-F,364,397,722,10,5,6,
1953,Jim Pollard*,SF,452,231,859,13,7,4,
1953,Ralph Polson,PF,211,24,191,4,4,0,
1953,Ralph Polson,PF,8,2,10,3,3,1,
1953,Ralph Polson,PF,203,22,181,4,4,0,
1953,Bob Priddy,F,36,7,36,2,2,0,
1953,Moe Radovich,PG,1,8,14,4,0,2,
1953,Sherwin Raiken,G,8,6,9,2,1,1,
1953,George Ratkovicz,PF,522,217,678,10,7,3,
1953,George Ratkovicz,PF,52,18,51,5,5,2,
1953,George Ratkovicz,PF,470,199,627,10,8,3,
1953,Gene Rhodes,SG,98,91,337,5,2,1,
1953,Arnie Risen*,C,745,135,884,13,11,2,
1953,Red Rocha,C,510,137,770,11,7,2,
1953,Kenny Rollins,PG,45,46,98,2,1,1,
1953,Pep Saul,SG,141,110,516,7,2,2,
1953,Fred Schaus,SF,413,245,723,10,6,4,
1953,Dolph Schayes*,PF,920,227,1262,18,13,3,
1953,Howie Schultz,PF,80,29,91,2,2,1,
1953,Fred Scolari,PG,209,233,830,13,3,4,
1953,Fred Scolari,PG,162,196,652,14,4,4,
1953,Fred Scolari,PG,47,37,178,11,3,2,
1953,George Senesky,PG,254,264,413,6,4,4,
1953,Paul Seymour,SG,246,294,952,14,4,4,
1953,Chuck Share,C,373,74,354,5,6,1,
1953,Bill Sharman*,SG,288,191,1147,16,4,3,
1953,Connie Simmons,C,458,127,729,11,7,2,
1953,Whitey Skoog,SG,121,82,250,4,2,1,
1953,Odie Spears,SF,251,113,595,10,4,2,
1953,Dick Surhoff,SF,25,9,45,2,1,0,
1953,Bill Tosheff,PG,229,243,759,11,3,4,
1953,Ernie Vandeweghe,SG,342,144,731,12,6,2,
1953,Paul Walther,SG,284,205,718,11,4,3,
1953,Bobby Wanzer*,SG,351,252,1020,15,5,4,
1953,Mark Workman,PF,193,37,330,5,3,1,
1953,Mark Workman,PF,6,1,11,2,1,0,
1953,Mark Workman,F-C,187,36,319,5,3,1,
1953,Max Zaslofsky,SG,75,55,344,12,3,2,
1953,Zeke Zawoluk,PF,146,31,187,5,4,1,
,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,
1954,Don Ackerman,PG,15,23,43,2,1,1,
1954,Don Asmonga,G,1,5,5,1,0,1,
1954,Jim Baechtold,SF,183,117,474,7,3,2,
1954,Don Barksdale*,PF,345,117,461,7,5,2,
1954,Leo Barnhorst,F-G,297,226,461,6,4,3,
1954,Ernie Barrett,SG,100,55,134,2,2,1,
1954,Ernie Beck,SG,50,34,112,7,3,2,
1954,Irv Bemoras,SF,214,79,509,7,3,1,
1954,Bill Bolger,SF,36,11,56,3,2,1,
1954,Vince Boryla,SF,130,77,420,8,3,1,
1954,Bob Brannum,PF,509,144,409,6,7,2,
1954,Carl Braun,SG,246,209,1062,15,3,3,
1954,Frankie Brian,SG,79,92,401,6,1,1,
1954,Bill Calhoun,SF,274,189,594,8,4,3,
1954,Cal Christensen,SF,395,107,412,6,6,2,
1954,Nat Clifton*,PF,528,176,688,10,7,2,
1954,Jack Coleman,PF,589,158,686,10,8,2,
1954,Chuck Cooper,SF,304,74,234,3,4,1,
1954,Bob Cousy*,PG,394,518,1383,19,5,7,
1954,Bob Davies*,PG,194,323,887,12,3,4,
1954,Walt Davis,PF,435,58,399,6,6,1,
1954,Bob Donham,SG,267,186,400,6,4,3,
1954,Gene Dyker,F,16,5,16,1,1,0,
1954,Ed Earle,PF,2,0,4,2,1,0,
1954,Ray Felix,C,958,82,1269,18,13,1,
1954,Danny Finn,PG,216,265,466,7,3,4,
1954,Larry Foust,C,967,161,1090,15,13,2,
1954,Jim Fritsche,PF,217,73,281,4,3,1,
1954,Jim Fritsche,PF,0,0,1,1,0,0,
1954,Jim Fritsche,PF,217,73,280,4,3,1,
1954,Joe Fulks*,PF,101,28,150,2,2,0,
1954,Bill Gabor,SG,96,162,547,9,2,3,
1954,Harry Gallatin*,PF,1098,153,949,13,15,2,
1954,Jack George,PG,386,312,675,10,5,4,
1954,Bato Govedarica,PG,18,24,75,3,1,1,
1954,Joe Graboski,PF,670,163,944,13,9,2,
1954,Norm Grekin,F,0,0,0,0,0,0,
1954,Alex Hannum*,PF,350,105,452,6,5,1,
1954,Rollen Hans,SG,160,181,483,7,2,3,
1954,Bob Harris,SF,517,94,420,6,7,1,
1954,Bob Harrison,SG,130,139,382,6,2,2,
1954,Bob Harrison,G,58,56,155,4,1,1,
1954,Bob Harrison,SG,72,83,227,9,3,3,
1954,Lew Hitch,PF,691,141,575,8,10,2,
